process,relevant,sentiment,gender,dizziness,convulsions,heart palpitations,shortness of breathe,headaches,drug effect decreased,allergies worse after taking drug,bad interaction between claritin and another drug.,nausea ,caused insomnia
gotta stop amp get sum claritin sumn,yes,4,male,no,no,no,no,no,no,no,no,no,no
kellygephart claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
man guest service desk look like walked claritin audition red nose stuffy eye nasaly voice,yes,2,male,no,no,no,no,no,no,no,no,no,no
popped claritin quick shit,yes,4,female,no,no,no,no,no,no,no,no,no,no
egyptionawy itchy antihistamins histazine syrup claritin syrup topical steroid perderm severe calamyl lotion,yes,3,female,no,no,no,no,no,no,no,no,no,no
kebiasaan kalo selesai migrannya skrng giliran alergy nya kumat claritin mana claritin,non_english,,,,,,,,,,,,
notsuperjustmom thinking switching teen claritin zyrtec sure yet allergy stink,yes,2,female,no,no,no,no,no,no,no,no,no,no
feeling much better today thanks claritin amp amp nyquil,yes,4,female,no,no,no,no,no,no,no,no,no,no
line weekend movie n neric cope differently nbenna crystal meth neric claritin allergy season,yes,4,male,no,no,no,no,no,no,no,no,no,no
need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
grrrrrr gt lt ang mahal narin ng claritin gt lt,non_english,,,,,,,,,,,,
alchemistemina hindi na umeepekto ang allerta sakin masyadong mahina gt lt virlix claritin lang sakin parang virlix rin,non_english,,,,,,,,,,,,
one week without claritin head plugged thought allergy season ugh claritin relationship rekindled,yes,4,male,no,no,no,no,no,no,no,no,no,no
want claritin right,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
want claritin right,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
eye hurt allergy bothering need claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
rt emrasaturngirl andyskib thedavidcook dave allergy bad complaining lot someone forget claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
time buy costco sized pack claritin allergy,yes,5,male,no,no,no,no,no,no,no,no,no,no
non stop sneezing claritin vitamin,yes,4,female,no,no,no,no,no,no,no,no,no,no
god bless creator claritin,yes,5,female,no,no,no,no,no,no,no,no,no,no
ashley allen take benadryl claritin zyrtec access prescription allergy med hope feel better,yes,4,female,no,no,no,no,no,no,no,no,no,no
sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
thought claritin non drowsy fucked right,yes,1,male,no,no,no,no,no,no,no,no,no,no
go doctor pay tell suck cough drop amp take claritin man fuck pissed,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin clear bitch jakeclark,yes,3,male,no,no,no,no,no,no,no,no,no,no
day pulling gas marathon nose blowing also claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin clear right foggy,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin finally kicked ahem weather grrrreat,yes,5,female,no,no,no,no,no,no,no,no,no,no
claritin orange juice refuse get sick,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
abegreenwald claritin inhaler amp wheelchair,yes,4,female,no,no,no,no,no,no,no,no,no,no
inthebleachers duffle bag smoking gaaaassss amount time take make conscious effort take claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
moment want get work early want go home allergy claritin fast enough,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
andeeeebell sound like claritin commercial,yes,3,female,no,no,no,no,no,no,no,no,no,no
janetlacava try advil claritin antihistamine ur nose pain reliever,yes,3,female,no,no,no,no,no,no,no,no,no,no
danielledilla hahaha got shot zpac claritin cough medicine football lol,yes,4,male,no,no,no,no,no,no,no,no,no,no
sakurateacup yeah hell allergy take claritin today cool,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin hell drug took one last night slept thru whole marathon martin,yes,2,male,no,no,no,no,no,no,no,no,no,no
zyrtec gt claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
chicadlicious sinus take claritin day benadryl night regular excedrin tension take excedrin tension pill bc powder,yes,4,female,no,no,no,no,no,no,no,no,no,no
hiddlestonpro im really sorry hear hope went dr medication allergy joke u tried claritin feelyourpain,yes,3,female,no,no,no,no,no,no,no,no,no,no
nonikell pharmacist suggested benadryl clear hive claritin hour allergy relief,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin coffee pronto sickandsleepy,yes,4,female,no,no,no,no,no,no,no,no,no,no
montanavolby fails claritin great decongestant disney hall cough drop great cough suppressor hall alternative,yes,4,male,no,no,no,no,no,no,no,no,no,no
took claritin much worse whyyyyy,yes,2,bad_link_or_company,no,no,no,no,no,no,yes,no,no,no
claritin greatest counter drug,yes,5,male,no,no,no,no,no,no,no,no,no,no
whipping claritin time cause allergy prone,yes,3,female,no,no,no,no,no,no,no,no,no,no
still mad developed allergy nowhere last summer never thought take claritin get away symptom smh,yes,3,female,no,no,no,no,no,no,no,no,no,no
codiee marie haha yeah true sinus really acting past day line claritin lol,yes,4,male,no,no,no,no,no,no,no,no,no,no
priceline asked claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
someone please bring claritin clear sniffle annoyingasfuck beafriend,yes,4,male,no,no,no,no,no,no,no,no,no,no
minha e comprou claritin pra eu r,non_english,,,,,,,,,,,,
ashley chopstix use eye drop find allegra claritin itch lol u probly itchin,yes,4,male,no,no,no,no,no,no,no,no,no,no
keithwtsmorris wait till whip four hour terrance malick edit film shit gonna many wheat field claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
onakasuitana cashkend claritin usually work wonder oh warm water help hug,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
claritin amp benadryl still sneezing amp eye swollen another benadryl amp drooling corner mouth ugh,yes,2,female,no,no,no,no,no,no,yes,no,no,no
sneeze give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
politicsnation vote suppression thing malarky id needed beer cigs claritin driving big dnc conv id entry right,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
wasabi clear sinus better claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
yooooo legit never taking claritin especially school day n f u n,yes,1,female,no,no,no,no,no,no,no,no,no,no
rushercloud claritin vomit,yes,2,female,no,no,no,no,no,no,no,no,yes,no
tu sigue en tu swing yo estoy claritin,non_english,,,,,,,,,,,,
claritin kicking cold,yes,4,male,no,no,no,no,no,no,no,no,no,no
dbarr yup claritin v monesson earlier year first time heard game decides big conference champion,yes,3,male,no,no,no,no,no,no,no,no,no,no
gucci mane need nasonex claritin forreal,yes,4,female,no,no,no,no,no,no,no,no,no,no
aabreezy givin complementary claritin pill amp shit,yes,3,male,no,no,no,no,no,no,no,no,no,no
need claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
katekirk problem assumed allergy attained resistance claritin,yes,2,female,no,no,no,no,no,yes,no,no,no,no
know bad allergy breathing nose option amp alway bottle claritin allergykidproblems,yes,4,female,no,no,no,no,no,no,no,no,no,no
mom came home big x kleenex amp little travel one claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
crookedhalos claritin took sister dose figured everything ok must never know,yes,3,female,no,no,no,no,no,no,no,no,no,no
giant burrito el indio claritin would better porn right,yes,4,male,no,no,no,no,no,no,no,no,no,no
kawnez claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin baked cheetos equal part saving ruining life right cheesyallergyhaze,yes,4,female,no,no,no,no,no,no,no,no,no,no
finally claritin ibuprofen naproxen sodium cock tail painkiller headache went away,yes,4,female,no,no,no,no,no,no,no,no,no,no
davymadmanquinn take claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
latinaprpro take plenty claritin client day,yes,4,female,no,no,no,no,no,no,no,no,no,no
djrobbierob sinus headache claritin zyrtec really wrks,yes,4,female,no,no,no,no,no,no,no,no,no,no
yourdp roblahblah pop claritin like tic tacs hate,yes,4,male,no,no,no,no,no,no,no,no,no,no
bexistntlcrisis googled ingredient found basically caffeine claritin tylenol crack like suspecting,yes,3,female,no,no,no,no,no,no,no,no,no,no
bass courtney need claritin girl,yes,4,female,no,no,no,no,no,no,no,no,no,no
ccharlesworth oh yes need claritin p,yes,4,female,no,no,no,no,no,no,no,no,no,no
bass courtney ccharlesworth oh yes need claritin p shewantyourdick add list,yes,4,male,no,no,no,no,no,no,no,no,no,no
fillwerrell claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
fillwerrell fucking kid allergy bullshit tell take claritin shut fuck sneeze,yes,3,male,no,no,no,no,no,no,no,no,no,no
someone please bring allegra claritin die,yes,4,female,no,no,no,no,no,no,no,no,no,no
new nasal allergy spray going look great sitting next claritin daily inhaler emergency inhaler thanks autumn,yes,4,female,no,no,no,no,no,no,no,no,no,no
brayos claritin use already lol barely found allergic cat l,yes,4,female,no,no,no,no,no,no,no,no,no,no
beltruggs someone please bring allegra claritin die coming,yes,4,male,no,no,no,no,no,no,no,no,no,no
brewhaha branancmonica baileeelisabeth remember game claritin game weird reason competed man,yes,3,male,no,no,no,no,no,no,no,no,no,no
c ramze calebknight bad sinus give claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
erodz quien habla claritin,non_english,,,,,,,,,,,,
laurabignell yup drank sister dose claritin luckily said ok,yes,3,female,no,no,no,no,no,no,no,no,no,no
grantalex jeremytimp rrilena okay auggie got full proof plan take claritin two hour help breath better,yes,4,male,no,no,no,no,no,no,no,no,no,no
texidor erodz quien habla claritin tu jaja,non_english,,,,,,,,,,,,
fuckwatyuhherrd need get claritin instead smoking,yes,4,female,no,no,no,no,no,no,no,no,no,no
def need one rt sha nastyyy fuckwatyuhherrd need get claritin instead smoking,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
matapison awh pobresito take claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
jello making noise like cry hope nothing claritin tum ate earlier,yes,2,female,no,no,no,no,no,no,no,no,no,no
killing two bird one stone relying claritin help allergy amp put bed damn time addict,yes,4,male,no,no,no,no,no,no,no,no,no,no
wala na kong morning sickness kasi afternoon na hahaahaha wth still thanks claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
take claritin alka seltzer plus time screw brain suree feel pretty darn od thing,yes,2,female,no,no,no,no,no,no,no,yes,no,no
need claritin ughhhh,yes,3,female,no,no,no,no,no,no,no,no,no,no
tatavinzons ayus na ticker took claritin rhinitis,non_english,,,,,,,,,,,,
literally dying fucking allergy claritin need kick already pwease,yes,2,female,no,no,no,no,no,no,yes,no,no,no
meet thesantaanas fully expect take claritin tomorrow morning santaanawinds,yes,3,male,no,no,no,no,no,no,no,no,no,no
fool vicks vapor rub claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
aidelacruz please buy claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin asap allergy starting stuff nose,yes,4,female,no,no,no,no,no,no,no,no,no,no
leave claritin theater,yes,3,male,no,no,no,no,no,no,no,no,no,no
wind blew front door open scared crap outta claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
damn peanut allergy really hope claritin work,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin something,yes,4,male,no,no,no,no,no,no,no,no,no,no
dam forgot take claritin pill,yes,2,female,no,no,no,no,no,no,no,no,no,no
hallbro took sister dose claritin said nothing worry phew,yes,4,female,no,no,no,no,no,no,no,no,no,no
suffered terrible allergy kennedy space center yesterday claritin last night ton water amp sweating fix,yes,4,female,no,no,no,no,no,no,no,no,no,no
super sleepy claritin joke,yes,3,female,no,no,no,no,no,no,no,no,no,no
jomariee hahaha claritin con nosotros hahaha,non_english,,,,,,,,,,,,
crapstielynn mucinex amp claritin combo far good,yes,4,female,no,no,no,no,no,no,no,no,no,no
girlfriend sore throat obviously need claritin,yes,5,male,no,no,no,no,no,no,no,no,no,no
mucinex claritin cv pharmacy,yes,3,male,no,no,no,no,no,no,no,no,no,no
augustr frankobojr ako din alimasag pala ang hipon ang niluto wala ako claritin,non_english,,,,,,,,,,,,
yes medication claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin hour workps good,yes,5,female,no,no,no,no,no,no,no,no,no,no
find claritin allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
btw itsnini find claritin allergy hate happens keep stash glove box,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin truth,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
claritin could save life right,yes,4,male,no,no,no,no,no,no,no,no,no,no
good thing claritin start working immediately sikee sneezingfordays,yes,5,male,no,no,no,no,no,no,no,no,no,no
claritin sudafed ibuprofen mucinex day got lot better thankgodfordrugs,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
omg health center gave claritin pill restored feel like b commercial,yes,5,female,no,no,no,no,no,no,no,no,no,no
erik angel get louise claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
louisedarling ok give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
tristangoogoo would carry claritin bookbag geekprobz,yes,4,female,no,no,no,no,no,no,no,no,no,no
itsmeleo hernandezyasmin yup claritin lang katapat,no,,,,,,,,,,,,
nasonex dayquil advil claritin helpme,yes,3,female,no,no,no,no,no,no,no,no,no,no
cheyennenigus take bath epson salt help body ache find get claritin headache,yes,4,male,no,no,no,no,no,no,no,no,no,no
time year skin reject everything happening l claritin rescue,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin coffee version bender,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin coffee version bender,yes,3,female,no,no,no,no,no,no,no,no,no,no
today best friend birthday itskirstyy love honey heta fasho fasho claritin crazy mofo bff,yes,4,female,no,no,no,no,no,no,no,no,no,no
bout take claritin eat lil something amp take nap clock class start,yes,3,female,no,no,no,no,no,no,no,no,no,no
health center said might strep gave claritin amp robitussin,yes,3,female,no,no,no,no,no,no,no,no,no,no
hour later still waiting claritin kick ugh allergiesarekillingme,yes,2,female,no,no,no,no,no,no,no,no,no,no
emilyxholland brand claritin work amazing take one soon wake,yes,5,female,no,no,no,no,no,no,no,no,no,no
rainy day cloudy day gloomy day grey day sky need claritin clear,yes,4,male,no,no,no,no,no,no,no,no,no,no
iguerin dangolden even made joke probably want know called claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
want crush claritin rub dead little eye allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
cmoney got claritin though,yes,4,male,no,no,no,no,no,no,no,no,no,no
took claritin hour please rt,yes,4,female,no,no,no,no,no,no,no,no,no,no
leaf smell awesome gotta pop claritin first ya feel,yes,3,male,no,no,no,no,no,no,no,no,no,no
eat ur garret claritin fuckboys,yes,1,male,no,no,no,no,no,no,no,no,no,no
snakesimpson claritin terrible allergy,yes,3,female,no,no,no,no,no,no,no,no,no,no
firecracker also like vicks inhaler found claritin one work better strong tho like smelling salt,yes,4,male,no,no,no,no,no,no,no,no,no,no
sick girlfriend decided bring claritin hot chocolate talk best girlfriend ever,yes,5,male,no,no,no,no,no,no,no,no,no,no
tryna get turnt yaded claritin allergy relief,yes,3,male,no,no,no,no,no,no,no,no,no,no
want pet tiger take non drowsy claritin every hour hour massive cat pet,yes,4,female,no,no,no,no,no,no,no,no,no,no
nikiamariexo feeling sick lemme give claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
themajesticheta miss liz itskirstyy lonely class lol lmfao talk pula claritin haha imma pound oz,yes,3,female,no,no,no,no,no,no,no,no,no,no
itskirstyy talking claritin lol haha song called money tree hahahhahahahha,yes,3,female,no,no,no,no,no,no,no,no,no,no
travis rexrode tried claritin never work took like hour ago feel lil better sure long feel,yes,4,female,no,no,no,no,no,yes,no,no,no,no
kendrajewel claritin work either allergy real bad wimp take pill hope feel better angel,yes,2,female,no,no,no,no,no,no,yes,no,no,no
turnt rt munchyfbabyz tryna get turnt yaded claritin allergy relief,yes,3,male,no,no,no,no,no,no,no,no,no,no
anyone claritin please hook sniffle,yes,3,male,no,no,no,no,no,no,no,no,no,no
please based god let claritin work lilbthebasedgod,yes,3,female,no,no,no,no,no,no,no,no,no,no
got allergy get claritin kanickles,yes,4,female,no,no,no,no,no,no,no,no,no,no
texidor hablando de todo un poco hablame de jonathan con fb hahahahahahhahahahahahahahahahahahaha malianteo x fb habla claritin,non_english,,,,,,,,,,,,
adelapilot np claritin whichever help,yes,3,female,no,no,no,no,no,no,no,no,no,no
reeveroni need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
allergy give claritin oh look cara allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
pretty sure bus driver mom get give claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
either claritin agree seemingly sweet girl pret manger roofied coffee wonky,yes,2,male,no,no,no,no,no,no,no,no,no,no
claritin suck work anybody,yes,1,male,no,no,no,no,no,no,yes,no,no,no
kattie tweet yun claritin zyrtec benadryl pili ka lang,non_english,,,,,,,,,,,,
laurenkolarik glad one noticed like watching claritin commercial,yes,3,male,no,no,no,no,no,no,no,no,no,no
sneeze give claritin godlovesugly,yes,4,male,no,no,no,no,no,no,no,no,no,no
captiannmorgan got claritin something allergy,yes,4,male,no,no,no,no,no,no,no,no,no,no
jeffcutler must claritin messing vision look horrible pic,yes,2,male,no,no,no,no,no,no,no,no,no,no
coltonrudloff mine always cary claritin around p,yes,4,female,no,no,no,no,no,no,no,no,no,no
nvrshoutnicole yeah totally want claritin allergy season,yes,3,female,no,no,no,no,no,no,no,no,no,no
know take claritin allergy ughhhh,yes,1,female,no,no,no,no,no,yes,no,no,no,no
went supermarket specifically cucumber left spinach amp hot pepper claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
hope get seasonal allergy rmariegraf well claritin ehh ryankaufman,yes,4,female,no,no,no,no,no,no,no,no,no,no
missshell lelehatesyouu amp get u zyrtec claritin something,yes,3,female,no,no,no,no,no,no,no,no,no,no
allergy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
think make claritin zyrtec pumpkin spice,yes,3,male,no,no,no,no,no,no,no,no,no,no
joesteelerfan think make claritin zyrtec pumpkin spice u take pumpkin allergy,yes,3,male,no,no,no,no,no,no,no,no,no,no
realllyyy hope getting sick accidentally took many claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
iamluckyd let know claritin serious relationship quite time,yes,4,female,no,no,no,no,no,no,no,no,no,no
mom keep referring claritin told careful cause shit knock,yes,3,female,no,no,no,no,no,no,no,no,no,no
need claritin claritinclear,yes,4,female,no,no,no,no,no,no,no,no,no,no
think kurt cobain claritin,yes,2,male,no,no,no,no,no,no,no,no,no,no
said would roll blunt want capital sunny seahawks allergy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
tried claritin help,yes,2,male,no,no,no,no,no,no,yes,no,no,no
inner bliss claritin need rhyme ha anyway make sure u gotta get behind counter texas,yes,4,female,no,no,no,no,no,no,no,no,no,no
stumbleupon may single greatest thing life right claritin sudafed,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
feel like claritin commercial shittaylorannsays liltayl,yes,4,female,no,no,no,no,no,no,no,no,no,no
thank god claritin,yes,5,female,no,no,no,no,no,no,no,no,no,no
badphysics cat lady fiance allergic claritin aller pet distilled water work,yes,4,female,no,no,no,no,no,no,no,no,no,no
bowden feeling drowsy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
vicks amp claritin bffs right,yes,4,female,no,no,no,no,no,no,no,no,no,no
trending nyquil benadryl claritin medicine make breathing optional sleep,yes,3,female,no,no,no,no,no,no,no,no,no,no
mikeecaars poppin allerta claritin outta trick p,yes,4,male,no,no,no,no,no,no,no,no,no,no
cmonlyn bihh weird tweet claritin got u high,yes,2,female,no,no,no,no,no,no,no,no,no,no
kredd cmonlyn bihh weird tweet claritin got u high hey bihhhhhhhhhhhh,yes,2,female,no,no,no,no,no,no,no,no,no,no
iamdelorean claritin,no,,,,,,,,,,,,
iamdelorean zyrtec claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
iamdelorean claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
took claritin breath,yes,5,female,no,no,no,no,no,no,no,no,no,no
iamdelorean claritin benadryl benadryl gon ya might wanna take energy drink jack,yes,3,male,no,no,no,no,no,no,no,no,no,no
iamdelorean claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
nyroyal fan claritin year,yes,5,male,no,no,no,no,no,no,no,no,no,no
henryblake claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
pickupprincess sick last weekend took claritin seemed help drink lot water,yes,4,female,no,no,no,no,no,no,no,no,no,no
hour sneezing later arrived home took claritin bring santa ana wind,yes,4,female,no,no,no,no,no,no,no,no,no,no
took claritin tryna get better,yes,4,female,no,no,no,no,no,no,no,no,no,no
emmantan take claritin ventolin,yes,4,male,no,no,no,no,no,no,no,no,no,no
heart claritin claritin product work,yes,1,bad_link_or_company,no,no,no,no,no,no,yes,no,no,no
zyrtec make feel like crap need good allergy medicine claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
trevormoran claritin make clear,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
trevormoran mind getting tired try benedryl save night time yeah claritin good helped least,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
trevormoran claritin amazing,yes,5,male,no,no,no,no,no,no,no,no,no,no
trevormoran zyrtec make feel like crap need good allergy medicine claritin zyrtec amazing taste love lt,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
santa ana wind party place want bump claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
legitmustache want claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
trevormoran claritin good,yes,2,male,no,no,no,no,no,no,yes,no,no,no
hoping tweet back claritin maybe refund sad face,yes,1,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
trevormoran zyrtec make feel like crap need good allergy medicine claritin never eat zyrtec hahaha,yes,3,female,no,no,no,no,no,no,no,no,no,no
must brace must stock claritin generic brand sudafed must keep kleenex side time,yes,4,female,no,no,no,no,no,no,no,no,no,no
told take claritin next marijuana incident allergic keeper,yes,3,female,no,no,no,no,no,no,no,no,no,no
trevormoran zyrtec use make nmme puke im claritin work really good depends type allergy environmantal,yes,4,female,no,no,no,no,no,no,no,no,no,no
guy allergy season getting sick take claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
took claritin tea sipped pinky lol,yes,4,female,no,no,no,no,no,no,no,no,no,no
break claritin rt thesextherapist sex help cure asthma hay fever since natural antihistamine,yes,4,female,no,no,no,no,no,no,no,no,no,no
melaniefontana claritin win barely freezing berlin count lucky,yes,5,male,no,no,no,no,no,no,no,no,no,no
nyquil amp claritin amp tissue aka toiletpaper ghetto nose goodnight,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin looking,yes,3,male,no,no,no,no,no,no,no,no,no,no
lol iamdelorean claritin looking,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin wave oh oh loumeatsixx,yes,4,female,no,no,no,no,no,no,no,no,no,no
oh claritin must forsake,yes,2,male,no,no,no,no,no,no,no,no,no,no
claritin tome ihateallergies,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
mzroper allergy med zyrtec claritin amp allegra get med make sleepy,yes,4,male,no,no,no,no,no,no,no,no,no,no
ivfisraeli waiting call doc today thing lost list think claritin safe let know find,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin come clutch,yes,3,male,no,no,no,no,no,no,no,no,no,no
sneeze give claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
god bless claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
sneeze give claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
locomcgraw tu ta claritin que si voy poner jugar un rato ante de tirarme al trabajo xdd,non_english,,,,,,,,,,,,
allergy medication blog review claritin allergy medication,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
drmarioramirez claritin tambi n pq tengo alergia para el catarro q puedo tomar,non_english,,,,,,,,,,,,
djfuture yeah man took claritin vitamin b shit supposed goto party tonight cant shake damn sickness,yes,3,unknown,no,no,no,no,no,no,yes,no,no,no
claritin liquid gel failing right spent extra money fast relief instead suffering gimmemymoneyback,yes,1,female,no,no,no,no,no,no,no,no,no,no
rubyroo also got allergy cold taking claritin sure mix,yes,3,male,no,no,no,no,no,no,no,no,no,no
puff claritin cup green tea better work gt lt,yes,3,female,no,no,no,no,no,no,no,no,no,no
cmreeves look claritin drug interaction sure fine take ibuprofen,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
oh fall weather trick thinking could stop talking claritin stupid allergy khan,yes,4,male,no,no,no,no,no,no,no,no,no,no
today santa ana wind brought claritin claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
u cant expect bless u ur th sneeze row go take claritin bitch get ya allergy control,yes,4,male,no,no,no,no,no,no,no,no,no,no
dear claritin claritin clear fuck sincerely shelli,yes,1,female,no,no,no,no,no,no,yes,no,no,no
brendan claritin work hall nquil tea lime honey lol,yes,4,male,no,no,no,no,no,no,no,no,no,no
popped claritin gonna high kite minute,yes,2,female,no,no,no,no,no,no,no,no,no,no
people commercial actor really claritin clear,yes,4,male,no,no,no,no,no,no,no,no,no,no
stephenasmith allergic reaction basketball hilarious lmao tell therealskipbayless get claritin wight get clue,yes,4,male,no,no,no,no,no,no,no,no,no,no
hate forget take claritin pill flem,yes,2,male,no,no,no,no,no,no,no,no,no,no
pollysa qualquer um que seja combina loratadina pseudoefedrina claritin mais famoso tem gen rico,non_english,,,,,,,,,,,,
cereal cleaner say eff bag w kid claritin freakin yogurt stuff,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin supposed make feel cracked,yes,2,female,no,no,no,no,no,no,no,no,no,no
anthonyervin scared allergy medicine last time took yes nondrowsy claritin felt like hit train day,yes,2,female,no,no,no,no,no,no,no,no,no,no
allergy really starting piss enough already claritin start magic please,yes,4,female,no,no,no,no,no,no,no,no,no,no
put skirt amp lip gloss away stock claritin socal santa ana time,yes,4,female,no,no,no,no,no,no,no,no,no,no
abosley shevvantsthed sneeze give claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
delelive take sudafed claritin every fucking day smh,yes,3,male,no,no,no,no,no,no,no,no,no,no
paid wait hour two minute speech need take claritin joke,yes,1,female,no,no,no,no,no,no,no,no,no,no
claritin really work took bae last pill,yes,4,female,no,no,no,no,no,no,no,no,no,no
scubastayve pretty fucking annoying amp get pretty fucking whiny run reactine p claritin also non drowsy btw,yes,4,female,no,no,no,no,no,no,no,no,no,no
lex stoned claritin need take benadryl night cause help sleep sleepy wake clear lol,yes,4,male,no,no,no,no,no,no,no,no,no,no
country music video like claritin commercial,yes,3,female,no,no,no,no,no,no,no,no,no,no
scubastayve bunch brand non drowsy one tried several claritin amp reactine best,yes,5,female,no,no,no,no,no,no,no,no,no,no
darlina oh went doctor told take claritin daily two week didnt go away go allergist,yes,3,female,no,no,no,no,no,no,no,no,no,no
somebody text claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
allergy want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
diandrac took claritin happy dance soon,yes,4,female,no,no,no,no,no,no,no,no,no,no
abikings claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
torres tienes alergia catarro si e alergia puedes tomar claritin que tenga la de descongestionante ncatarro miel de abeja,non_english,,,,,,,,,,,,
claritin make sulli loopyfroods,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin pill almost killed biggest pill planet almost choked death everyone would sad worry fine,yes,2,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
torres claritin miel de abeja con sabila limon,non_english,,,,,,,,,,,,
need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin made feel time better,yes,4,female,no,no,no,no,no,no,no,no,no,no
isthewalrus oooh thanks warning girl hitting stash claritin amp sudafed pronto,yes,3,female,no,no,no,no,no,no,no,no,no,no
today got hit train called allergy express sooo windy ana jones outside claritin please ouch,yes,3,male,no,no,no,no,no,no,no,no,no,no
